device_id,timestamp,spindle_temp,ambient_temp,status
CNC-001,2026-04-17 00:00:00,67.8,22.2,正常
CNC-001,2026-04-17 00:05:00,60.5,23.3,正常
CNC-001,2026-04-17 00:10:00,69.7,26.1,正常
CNC-001,2026-04-17 00:15:00,72.8,22.5,正常
CNC-001,2026-04-17 00:20:00,63.4,22.2,正常
CNC-001,2026-04-17 00:25:00,59.4,25.0,正常
CNC-001,2026-04-17 00:30:00,55.5,23.2,正常
CNC-001,2026-04-17 00:35:00,68.0,25.3,正常
CNC-001,2026-04-17 00:40:00,59.4,25.5,正常
CNC-001,2026-04-17 00:45:00,71.2,22.0,正常
CNC-001,2026-04-17 00:50:00,71.1,26.2,正常
CNC-001,2026-04-17 00:55:00,61.8,22.9,正常
CNC-001,2026-04-17 01:00:00,74.1,24.0,正常
CNC-001,2026-04-17 01:05:00,56.9,22.6,正常
CNC-001,2026-04-17 01:10:00,71.9,25.6,正常
CNC-001,2026-04-17 01:15:00,71.1,26.4,正常
CNC-001,2026-04-17 01:20:00,65.7,27.8,正常
CNC-001,2026-04-17 01:25:00,62.6,25.3,正常
CNC-001,2026-04-17 01:30:00,71.6,25.7,正常
CNC-001,2026-04-17 01:35:00,72.2,25.5,正常
CNC-001,2026-04-17 01:40:00,69.1,22.3,正常
CNC-001,2026-04-17 01:45:00,59.6,23.7,正常
CNC-001,2026-04-17 01:50:00,56.6,23.4,正常
CNC-001,2026-04-17 01:55:00,57.0,23.7,正常
CNC-001,2026-04-17 02:00:00,67.7,24.2,正常
CNC-001,2026-04-17 02:05:00,62.4,23.3,正常
CNC-001,2026-04-17 02:10:00,60.3,27.6,正常
CNC-001,2026-04-17 02:15:00,68.0,25.7,正常
CNC-001,2026-04-17 02:20:00,58.4,26.4,正常
CNC-001,2026-04-17 02:25:00,58.3,24.3,正常
CNC-001,2026-04-17 02:30:00,74.8,25.8,正常
CNC-001,2026-04-17 02:35:00,66.1,26.1,正常
CNC-001,2026-04-17 02:40:00,71.9,26.7,正常
CNC-001,2026-04-17 02:45:00,59.6,22.2,正常
CNC-001,2026-04-17 02:50:00,61.3,23.6,正常
CNC-001,2026-04-17 02:55:00,59.2,27.7,正常
CNC-001,2026-04-17 03:00:00,72.5,23.9,正常
CNC-001,2026-04-17 03:05:00,68.1,24.4,正常
CNC-001,2026-04-17 03:10:00,73.3,24.8,正常
CNC-001,2026-04-17 03:15:00,60.3,23.5,正常
CNC-001,2026-04-17 03:20:00,66.2,23.6,正常
CNC-001,2026-04-17 03:25:00,66.7,27.4,正常
CNC-001,2026-04-17 03:30:00,63.0,23.3,正常
CNC-001,2026-04-17 03:35:00,75.0,25.1,正常
CNC-001,2026-04-17 03:40:00,56.8,22.3,正常
CNC-001,2026-04-17 03:45:00,57.2,25.8,正常
CNC-001,2026-04-17 03:50:00,70.8,24.5,正常
CNC-001,2026-04-17 03:55:00,56.3,24.3,正常
CNC-001,2026-04-17 04:00:00,74.9,25.2,正常
CNC-001,2026-04-17 04:05:00,74.4,27.2,正常
CNC-001,2026-04-17 04:10:00,55.2,26.3,正常
CNC-001,2026-04-17 04:15:00,68.6,25.2,正常
CNC-001,2026-04-17 04:20:00,60.3,25.8,正常
CNC-001,2026-04-17 04:25:00,57.2,24.6,正常
CNC-001,2026-04-17 04:30:00,64.1,27.7,正常
CNC-001,2026-04-17 04:35:00,72.5,23.6,正常
CNC-001,2026-04-17 04:40:00,65.0,23.1,正常
CNC-001,2026-04-17 04:45:00,73.3,27.2,正常
CNC-001,2026-04-17 04:50:00,61.0,25.8,正常
CNC-001,2026-04-17 04:55:00,67.2,22.9,正常
CNC-001,2026-04-17 05:00:00,70.3,25.2,正常
CNC-001,2026-04-17 05:05:00,70.6,25.2,正常
CNC-001,2026-04-17 05:10:00,55.0,23.9,正常
CNC-001,2026-04-17 05:15:00,55.4,27.6,正常
CNC-001,2026-04-17 05:20:00,72.6,27.0,正常
CNC-001,2026-04-17 05:25:00,61.2,22.3,正常
CNC-001,2026-04-17 05:30:00,72.6,27.7,正常
CNC-001,2026-04-17 05:35:00,56.7,24.9,正常
CNC-001,2026-04-17 05:40:00,56.4,26.6,正常
CNC-001,2026-04-17 05:45:00,70.3,22.8,正常
CNC-001,2026-04-17 05:50:00,64.5,25.3,正常
CNC-001,2026-04-17 05:55:00,60.3,27.2,正常
CNC-001,2026-04-17 06:00:00,63.5,23.3,正常
CNC-001,2026-04-17 06:05:00,65.8,26.4,正常
CNC-001,2026-04-17 06:10:00,59.0,23.9,正常
CNC-001,2026-04-17 06:15:00,74.9,25.9,正常
CNC-001,2026-04-17 06:20:00,63.8,25.1,正常
CNC-001,2026-04-17 06:25:00,57.4,23.3,正常
CNC-001,2026-04-17 06:30:00,61.8,25.5,正常
CNC-001,2026-04-17 06:35:00,59.6,23.3,正常
CNC-001,2026-04-17 06:40:00,56.4,25.8,正常
CNC-001,2026-04-17 06:45:00,59.6,27.4,正常
CNC-001,2026-04-17 06:50:00,72.2,22.4,正常
CNC-001,2026-04-17 06:55:00,59.8,26.0,正常
CNC-001,2026-04-17 07:00:00,59.3,22.8,正常
CNC-001,2026-04-17 07:05:00,73.7,25.4,正常
CNC-001,2026-04-17 07:10:00,64.5,26.7,正常
CNC-001,2026-04-17 07:15:00,71.1,23.1,正常
CNC-001,2026-04-17 07:20:00,56.9,24.6,正常
CNC-001,2026-04-17 07:25:00,63.5,24.8,正常
CNC-001,2026-04-17 07:30:00,69.6,26.0,正常
CNC-001,2026-04-17 07:35:00,74.7,22.6,正常
CNC-001,2026-04-17 07:40:00,63.1,24.0,正常
CNC-001,2026-04-17 07:45:00,72.2,23.5,正常
CNC-001,2026-04-17 07:50:00,58.8,24.7,正常
CNC-001,2026-04-17 07:55:00,63.4,23.7,正常
CNC-001,2026-04-17 08:00:00,60.0,27.5,正常
CNC-001,2026-04-17 08:05:00,63.9,27.2,正常
CNC-001,2026-04-17 08:10:00,66.0,22.3,正常
CNC-001,2026-04-17 08:15:00,75.0,27.0,正常
CNC-001,2026-04-17 08:20:00,74.4,27.6,正常
CNC-001,2026-04-17 08:25:00,72.0,23.0,正常
CNC-001,2026-04-17 08:30:00,64.7,23.3,正常
CNC-001,2026-04-17 08:35:00,63.0,22.4,正常
CNC-001,2026-04-17 08:40:00,62.6,27.9,正常
CNC-001,2026-04-17 08:45:00,60.3,26.7,正常
CNC-001,2026-04-17 08:50:00,64.1,24.5,正常
CNC-001,2026-04-17 08:55:00,74.1,28.0,正常
CNC-001,2026-04-17 09:00:00,66.1,26.3,正常
CNC-001,2026-04-17 09:05:00,58.1,23.8,正常
CNC-001,2026-04-17 09:10:00,74.4,25.5,正常
CNC-001,2026-04-17 09:15:00,65.8,26.5,正常
CNC-001,2026-04-17 09:20:00,56.1,25.5,正常
CNC-001,2026-04-17 09:25:00,65.1,27.1,正常
CNC-001,2026-04-17 09:30:00,58.1,27.8,正常
CNC-001,2026-04-17 09:35:00,56.6,23.1,正常
CNC-001,2026-04-17 09:40:00,66.9,26.1,正常
CNC-001,2026-04-17 09:45:00,59.7,22.7,正常
CNC-001,2026-04-17 09:50:00,72.8,23.5,正常
CNC-001,2026-04-17 09:55:00,66.9,25.7,正常
CNC-001,2026-04-17 10:00:00,63.4,25.5,正常
CNC-001,2026-04-17 10:05:00,65.5,27.6,正常
CNC-001,2026-04-17 10:10:00,59.1,26.3,正常
CNC-001,2026-04-17 10:15:00,59.8,24.4,正常
CNC-001,2026-04-17 10:20:00,68.4,23.8,正常
CNC-001,2026-04-17 10:25:00,61.3,26.5,正常
CNC-001,2026-04-17 10:30:00,56.5,24.7,正常
CNC-001,2026-04-17 10:35:00,75.0,28.0,正常
CNC-001,2026-04-17 10:40:00,56.5,23.3,正常
CNC-001,2026-04-17 10:45:00,60.3,27.6,正常
CNC-001,2026-04-17 10:50:00,72.6,27.3,正常
CNC-001,2026-04-17 10:55:00,62.4,22.9,正常
CNC-001,2026-04-17 11:00:00,71.7,26.2,正常
CNC-001,2026-04-17 11:05:00,67.2,27.9,正常
CNC-001,2026-04-17 11:10:00,68.1,22.0,正常
CNC-001,2026-04-17 11:15:00,71.3,23.8,正常
CNC-001,2026-04-17 11:20:00,68.3,27.6,正常
CNC-001,2026-04-17 11:25:00,57.7,22.7,正常
CNC-001,2026-04-17 11:30:00,57.1,25.3,正常
CNC-001,2026-04-17 11:35:00,60.4,25.6,正常
CNC-001,2026-04-17 11:40:00,69.4,23.2,正常
CNC-001,2026-04-17 11:45:00,67.7,23.6,正常
CNC-001,2026-04-17 11:50:00,64.8,27.4,正常
CNC-001,2026-04-17 11:55:00,71.9,22.6,正常
CNC-001,2026-04-17 12:00:00,63.5,23.7,正常
CNC-001,2026-04-17 12:05:00,55.1,26.6,正常
CNC-001,2026-04-17 12:10:00,67.7,23.6,正常
CNC-001,2026-04-17 12:15:00,69.8,25.3,正常
CNC-001,2026-04-17 12:20:00,63.6,22.1,正常
CNC-001,2026-04-17 12:25:00,56.5,27.3,正常
CNC-001,2026-04-17 12:30:00,73.1,25.3,正常
CNC-001,2026-04-17 12:35:00,71.7,25.5,正常
